CA City,Applications,lat,lng
San Diego,350740,32.8312,-117.1225
San Jose,312098,37.3019,-121.8486
San Francisco,215371,37.7562,-122.443
Sunnyvale,116523,37.3836,-122.0256
Palo Alto,96115,37.3913,-122.1468
Mountain View,89531,37.4,-122.0796
Fremont,75752,37.5265,-121.9852
Cupertino,71580,37.3168,-122.0465
Santa Clara,69989,37.3645,-121.968
Los Angeles,55271,34.1139,-118.4068
Irvine,57022,33.6772,-117.7738
Los Altos,40499,37.3685,-122.0966
Menlo Park,38078,37.4686,-122.1672
Saratoga,32671,37.2684,-122.0263
Redwood City,31466,37.5026,-122.2252
PALO ALTO,31381,37.3913,-122.1468
Los Gatos,28762,37.2303,-121.956
SAN FRANCISCO,28645,37.7562,-122.443
SUNNYVALE,28355,37.3836,-122.0256
San Mateo,27959,37.5521,-122.3122
Carlsbad,27525,33.1247,-117.2837
MOUNTAIN VIEW,27045,37.4,-122.0796
Pleasanton,26443,37.6663,-121.8805
Oakland,26372,37.7903,-122.2165
Berkeley,24545,37.8723,-122.276
CUPERTINO,23794,37.3168,-122.0465
Pasadena,21307,34.1597,-118.139
Milpitas,20887,37.4339,-121.8921
Foster City,20827,37.5553,-122.2659
Campbell,18523,37.2802,-121.9538
LOS ANGELES,18272,34.1139,-118.4068
FREMONT,18089,37.5265,-121.9852
San Ramon,17257,37.7625,-121.9365
Santa Barbara,16591,34.4285,-119.7202
San Carlos,16345,37.4982,-122.268
Belmont,16252,37.5154,-122.2955
SANTA CLARA,14832,37.3645,-121.968
Livermore,14776,37.6862,-121.7608
Encinitas,13391,33.049,-117.2613
Santa Cruz,12363,36.9789,-122.0346
MENLO PARK,12200,37.4686,-122.1672
LOS ALTOS,11959,37.3685,-122.0966
Stanford,11106,37.4252,-122.1674
Thousand Oaks,10788,34.1914,-118.8755
Los Altos Hills,10583,37.3671,-122.139
Burlingame,10529,37.586,-122.3669
Santa Monica,10422,34.0232,-118.4813
South San Francisco,9368,37.6536,-122.4197
Poway,9037,32.9871,-117.0201
Mission Viejo,8994,33.6095,-117.655
Davis,8947,38.5552,-121.7365
Huntington Beach,8943,33.696,-118.0025
SARATOGA,8943,37.2684,-122.0263
Del Mar,8756,32.9633,-117.2627
Danville,8631,37.8121,-121.9698
Portola Valley,8584,37.3713,-122.2203
Woodside,8526,37.4222,-122.2591
Union City,8270,37.603,-122.0187
Dublin,8223,37.7161,-121.8963
Morgan Hill,8185,37.1326,-121.6417
LOS GATOS,8166,37.2303,-121.956
Torrance,8029,33.8346,-118.3417
Newport Beach,7893,33.6151,-117.8669
Escondido,7892,33.1347,-117.0722
REDWOOD CITY,7855,37.5026,-122.2252
Goleta,7784,34.436,-119.8596
Laguna Niguel,7599,33.5275,-117.705
Santa Rosa,7483,38.4458,-122.7067
BERKELEY,7414,37.8723,-122.276
Alameda,7242,37.767,-122.2672
Hillsborough,7185,37.5573,-122.3587
Walnut Creek,7108,37.9024,-122.0398
CARLSBAD,7107,33.1247,-117.2837
PASADENA,7058,34.1597,-118.139
MILPITAS,6796,37.4339,-121.8921
Folsom,6759,38.6668,-121.1422
San Marcos,6637,33.135,-117.1744
Long Beach,6596,33.7981,-118.1675
Hayward,6416,37.6328,-122.0772
OAKLAND,6227,37.7903,-122.2165
Simi Valley,6198,34.2663,-118.749
SAN MATEO,6176,37.5521,-122.3122
PLEASANTON,6125,37.6663,-121.8805
Oceanside,5771,33.2247,-117.3083
SANTA BARBARA,5684,34.4285,-119.7202
Glendale,5608,34.1818,-118.2468
Vista,5561,33.1896,-117.2386
Aliso Viejo,5528,33.5792,-117.7289
San Clemente,5512,33.4498,-117.6103
Castro Valley,5421,37.7091,-122.0631
Redondo Beach,5351,33.8574,-118.3766
Sacramento,5175,38.5667,-121.4683
Beverly Hills,5019,34.0786,-118.4021
San Rafael,4843,37.9905,-122.5222
Newark,4835,37.5204,-122.0312
Pacifica,4801,37.6112,-122.4781
Mill Valley,4778,37.9085,-122.5421
